Y1	Y2	Y	Domain	area	keywords	Abstract
0	12	12	CS 	 Symbolic computation  	 The dispersive water system; (G '/G) -expansion method; Kink soliton solutions; Symbolic computation        	The dispersive water wave system is explored by the (G'/G) -expansion method. Many new solutions are obtained with the aid of this method. These solutions include hyperbolic function solutions, trigonometric function solutions and rational function solutions. These new solutions will be better help us to understand the physical phenomenon of the dispersive water wave equation.
0	13	13	CS 	 Algorithm design  	 Interactive evolutionary computation; Interactive algorithms; Automatic algorithm design; Meta-level evolutionary algorithms        	In interactive evolutionary computation (IEC), each solution is evaluated by a human user. Usually the total number of examined solutions is very small. In some applications such as hearing aid design and music composition, only a single solution can be evaluated at a time by a human user. Moreover, accurate and precise numerical evaluation is difficult. Based on these considerations, we formulated an IEC model with the minimum requirement for fitness evaluation ability of human users under the following assumptions: They can evaluate only a single solution at a time, they can memorize only a single previous solution they have just evaluated, their evaluation result on the current solution is whether it is better than the previous one or not, and the best solution among the evaluated ones should be identified after a pre-specified number of evaluations. In this paper, we first explain our IEC model in detail. Next we propose a (mu + 1) ES-style algorithm for our IEC model. Then we propose an offline meta-level approach to automated algorithm design for our IEC model. The main feature of our approach is the use of a different mechanism (e.g., mutation, crossover, random initialization) to generate each solution to be evaluated. Through computational experiments on test problems, our approach is compared with the (mu + 1) ES-style algorithm where a solution generation mechanism is pre-specified and fixed throughout the execution of the algorithm.
1	5	22	ECE 	 System identification  	 Extended state observer; fault diagnosis; flight control system; model identification; subspace method; two-stage Kalman filter        	Model-based fault diagnosis has attracted considerable attention from researchers and developers of flight control systems, thanks to its hardware simplicity and cost-effectiveness. However, the airplane model, which is adopted commonly in fault diagnosis, only exists theoretically and is linearized in approximation. For this reason, uncertainties such as system non-linearity and subjectivity will degrade the fault diagnosis results. In this paper, we propose a novel actuator fault diagnosis scheme for flight control systems based on model identification techniques. With this scheme, system identification can be achieved with a linear model that uses a closed-loop subspace model identification algorithm, and a non-linear model that uses an extended state observer and neural networks. On this basis, the current actuator fault is estimated using an adaptive two-stage Kalman filter. Finally, the non-linear six-degree-of-freedom model of a B747 airplane is simulated in the Matlab/Simulink environment, where the effectiveness of the proposed scheme is verified from fault diagnosis tests.
4	7	68	Civil 	 Green Building  	 Green building; Intelligent building; Green building material; Intelligent green building; Policy promoting        	"In 2010, Taiwan launched a program dubbed ""four emerging intellectual industries"" that lists intelligent green buildings. The aim of promoting of intelligent green building is to stimulate the architecture technology industry. This has been combined with Information and Communication Technology (ICT) and the concept of green building to provide a safe and healthy living environment. While doing this it will also aim to reduce carbon emissions and save energy. This study investigates intelligent green building policies and the promotion of progress in Taiwan. It probes into cases from 1988 to 2014. Key success factors are derived from analyzing and summarizing intelligent green building experiences in Taiwan. This is done through Secondary Data Analyses by: 1. Establishing clear norms and standards for intelligent green building design and improvement; 2. First carrying out policies in public sector, in order to provide field trial and safeguarded market opportunities for industries; 3. Implementing rating-based assessments, in order to raise the quality of design; 4. Mandatory or incentive policies are introduced, depending on local specialties and conditions; 5. Respectively planning incentives for relevant interested parties in industrial chain; 6. Strengthening marketing efforts and proactively promoting policies. (C) 2016 Elsevier Ltd. All rights reserved."
2	16	49	Psychology  	 False memories  	 Emotions; Semantic elaboration; Memory distortions; Remember/familiar judgements        	The present experiment was conducted to investigate whether negative emotionally charged and arousing content of to-be-remembered scripted material would affect propensity towards memory distortions. We further investigated whether elaboration of the studied material through free recall would affect the magnitude of memory errors. In this study participants saw eight scripts. Each of the scripts included an effect of an action, the cause of which was not presented. Effects were either negatively emotional or neutral. Participants were assigned to either a yes/no recognition test group (recognition), or to a recall and yes/ no recognition test group (elaboration + recognition). Results showed that participants in the recognition group produced fewer memory errors in the emotional condition. Conversely, elaboration + recognition participants had lower accuracy and produced more emotional memory errors than the other group, suggesting a mediating role of semantic elaboration on the generation of false memories. The role of emotions and semantic elaboration on the generation of false memories is discussed.
2	15	48	Psychology  	 Gender roles  	 Adolescents/young adults' health; Risk-taking; Barriers to contraception; Mozambique        	Background: By focusing upon formal sex education programmes, the Mozambican government has significantly enhanced the general health of adolescents and young adults. However, when it comes to contraception, little is known about how adolescents and young adults actually behave. Methods: Based upon a qualitative study in two settings in Maputo province - Ndlavela and Boane - this paper explores the knowledge and practices of contraception among adolescents and young adults. A total of four focus group discussions, 16 in-depth interviews, four informal conversations, and observations were equally divided between both study sites. Results: Discrepancies between what adolescents and young adults know and what they do quickly became evident. Ambivalent and contradictory practices concerning contraceptive use was the result. As well, young people had numerous interpretations of risk-taking when not using contraceptives. These inconsistencies are influenced by social and medical barriers such as restricted dialogue on sexuality among adolescents and young adults and their parents and peers. Additionally, ideas about indigenous contraceptives, notions of masculinity and femininity, misconceptions and fear of the side effects of contraceptives, make people of all ages wary of modern birth control. Other barriers include imposed contraceptive choice - meaning no choice, overly technical medical language used at clinics and the absence of healthcare workers more attuned to the needs of adolescents and young adults. Conclusions: Adolescents and young adults have numerous - often erroneous - opinions about contraception, leading to inconsistent use as well as vague perceptions of risk-taking. Moreover, social norms and cultural gender roles often contradict and hinder risk-avoiding behaviour. Therefore, in order to improve young people's health, policymakers must address the reasons behind this ambivalence and inconsistency.
2	8	41	Psychology  	 Borderline personality disorder  	 Bipolar disorder; Borderline personality disorder; Comorbidity; Emotion regulation; Emotional dysregulation        	Background: Differentiation of the bipolar disorders (BP) from a borderline personality disorder (BPD) can be challenging owing to shared features, with emotional dysregulation being the likely principal one. Aim: To assess differences in emotion regulation strategies in those with BP alone, BPD alone and those comorbid for both. Methods: We interviewed participants previously receiving a BP or BPD diagnosis, studying those who met DSM criteria for one or both conditions. Results: The sample comprised 83 with bipolar disorder, 53 with BPD and 54 comorbid for both. Analyses established linear trends, with the greatest impairment in emotion regulation strategies in the comorbid group followed by the BPD group, and with the lowest in the BP group. Specific deficits in the comorbid group included impulsivity, difficulties with goal directed behaviour, and accessing strategies. A similar linear profile was quantified for maladaptive cognitive emotion regulation strategies, weighted to catastrophizing and rumination. Adaptive emotion regulation strategies were superior in the bipolar group, without significant differences observed between the comorbid and BPD groups. Limitations: Reliance on self-report measures; combined BP I and II participants limits generalisability of results to each bipolar sub-type; use of DSM diagnoses risking artefactual comorbidity; while there was an over-representation of females in all groups. Conclusions: Differences in emotion regulation strategies advance differentiation of those with either BP or BPD, while we identify the specificity of differing strategies to each condition and their synergic effect in those comorbid for both conditions. Study findings should assist the development and application of targeted strategies for those with either or both conditions. Crown Copyright (C) 2016 Published by Elsevier B.V. All rights reserved.
5	23	95	Medical 	 Heart Disease  	 placental abruption; cardiovascular disease; ischaemic placental disease; preterm delivery; prospective cohort study        	BackgroundCardiovascular (CVD) complications stemming from vascular dysfunction have been widely explored in the setting of preeclampsia. However, the impact of abruption, a strong indicator of microvascular disturbance, on the risk of CVD mortality and morbidity remains poorly characterised. MethodsWe designed a cohort analysis of 828289 women who delivered singletons in Denmark between 1978 and 2010. We linked the National Patient Registry and the Registry of Causes of Death to the Danish Birth Registry to ascertain CVD events. We estimated CVD risks in relation to abruption from Cox proportional hazards regression following adjustments for confounders. ResultsWith 13231562 person-years of follow-up of women with at least one delivery, 11829 pregnancies were complicated by abruption. The median (interquartile range) follow-up in the non-abruption and abruption groups was 16 (8, 24) and 18 (10, 25) years, respectively. CVD mortality rates in women with and without abruption were 0.9 and 0.3 per 10000 person-years, respectively (adjusted hazard ratio (HR) 2.7, 95% confidence interval (CI) 1.5, 5.0). The corresponding CVD morbidity complication rates were 16.7 and 10.0 per 10000 person-years, respectively (HR 1.5, 95% CI 1.4, 1.8). The increased risks were evident for ischaemic heart disease, acute myocardial infarction, hypertensive heart disease, non-rheumatic valvular disease, and congestive heart failure. ConclusionsThis study shows increased hazards of CVD morbidity and mortality in relation to abruption. A better understanding of the pathogenesis of distorted placental microvasculature is needed as this appears to be a harbinger of CVD later in life.
0	12	12	CS 	 Symbolic computation  	 Hirota bilinear form; lump solution; BKP equation        	Lump solutions are rationally localized in all directions in the space. A general class of lump solutions to the (2 + 1)-dimensional B-Kadomtsev-Petviashvili (BKP) equation is presented through symbolic computation with Maple. The Hirota bilinear form of the equation is the starting point in the computation process. Like the KP equation, the resulting lump solutions contain six arbitrary parameters. Two of the parameters are due to the translation invariances of the BKP equation with the independent variables, and the other four need to satisfy a nonzero determinant condition and the positivity condition, which guarantee analyticity and rational localization of the solutions.
5	37	109	Medical 	 Myelofibrosis  	 HDAC8; bone marrow-mesenchymal stromal cells; myeloproliferative neoplasm cell lines; apoptosis and myeloproliferative neoplasms        	Histone deacetylases (HDACs) are involved in epigenetic modulation and their aberrant expression has been demonstrated in myeloproliferative neoplasms (MPN). HDAC8 inhibition has been shown to inhibit JAK2/STAT5 signaling in hematopoietic cells from MPN. Nevertheless, the role of HDAC8 expression in bone marrow-mesenchymal stromal cells (BM-MSC) has not been assessed. In the current work we describe that HDAC8 is significantly over-expressed in MSC from in JAK-2 positive MPN compared to those from healthy-donors (HD-MSC). Using a selective HDAC8 inhibitor (PCI34051), we verified that the subsequent decrease in the protein and mRNA expression of HDAC8 is linked with an increased apoptosis of malignant MSC whereas it has no effects on normal MSC. In addition, HDAC8 inhibition in MPN-MSC also decreased their capacity to maintain neoplastic hematopoiesis, by increasing the apoptosis, cell-cycle arrest and colony formation of JAK2(+)-hematopoietic cells. Mechanistic studies using different MPN cell lines revealed that PCI34051 induced their apoptosis, which is enhanced when were co-cultured with JAK2V617F-MSC, decreased their colony formation and the phosphorylation of STAT3 and STAT5. In summary, we show for the first time that the inhibition of HDAC8 in MSC from JAK2(+) MPN patients selectively decreases their hematopoietic-supporting ability, suggesting that HDAC8 may be a potential therapeutic target in this setting by acting not only on hematopoietic cells but also on the malignant microenvironment.
0	1	1	CS 	 Machine learning  	 Radial basis function neural networks; Support vector machines; Matter-element extension model; Ecological stoichiometry; Degradation mechanism; Western Jilin Province        	The grasslands of Western Jilin Province in China have experienced severe degradation during the last 50 years. Radial basis function neural networks (RBFNN) and support vector machines (SVM) were used to predict the carbon, nitrogen, and phosphorus contents of Leymus chinensis (L. chinensis) and explore the degree of grassland degradation using the matter-element extension model. Both RBFNN and SVM demonstrated good prediction accuracy. The results indicated that there was severe degradation, as samples were mainly concentrated in the 3rd and 4th levels. The growth of L chinensis was shown to be limited by either nitrogen, phosphorus, or both during different stages of degradation. The soil chemistry changed noticeably as degradation aggravated, which represents a destabilization of L chinensis community homeostasis. Soil salinization aggravates soil nutrient loss and decreases the bioavailability of soil nutrients. This, along with the destabilization of C/N, C/P and N/P ratios, weakens the photosynthetic ability and productivity of L chinensis. This conclusion was supported by observations that L. chinensis is gradually being replaced by a Chloris virgata, Puccinellia tenuiflora and Suaeda acuminate mixed community. (C) 2017 Elsevier Ltd. All rights reserved.
0	9	9	CS 	 Software engineering  	 Ant colony optimization; Interactive optimization; Next release problem; Search based soft ware engineering        	The selection of which requirements should be implemented in the next software release is an important and complex task in the software development process, considering the presence of budget constraints and other conflicting aspects. In this context, search based software engineering, has the main objective of applying automatic search methods to solve complex software engineering problems. However, most of these methods do not consider human expertise during the search, especially due to the difficulty in mathematically modeling the user's preferences. Consequently, the user can present some resistance or place little confidence in the final results, given that his/her knowledge and domain expertise was not properly considered in the solution construction. This paper aims at proposing an interactive model for the next release problem using ant colony optimization, where the user can define which requirements he/she would like to include or not in the next release. Employing humans and a simulator, an empirical study was performed that considers real-world and artificial instances. The achieved results demonstrate that the loss of score was, on average, 12% when it was compared with a solution with no human intervention. On the other hand, the algorithm generates solutions that have more than 80% of the met preferences, as defined by the users. Furthermore, the results showed that ACO can be an interesting choice as an interactive search engine, given the low quantity of interactions that are required to reach good solutions. (C) 2016 Elsevier B.V. All rights reserved.
5	40	112	Medical 	 Osteoporosis  	 Nitric oxide; Nitrates; Nitrites; Biomarkers; Chronic disease        	BACKGROUND: Nitric oxide and its metabolites, nitrate and nitrite, are important regulators linked to various diseases. We studied the association of fasting serum concentrations of nitrate and nitrite, combined as NOx, without special diet, with the prevalence of various chronic diseases. METHODS: Fasting concentrations of NOx were assayed in a cohort of 1087 patients recruited to Stress Aging and Health in Russia study that represents male and female population in Moscow, Russia, over 55 years of age. Chronic diseases were recorded based on anamnesis and additional assays were run to characterize immune status and lipid and carbohydrate metabolism Odds ratios were calculated to associate NOx concentrations with prevalence of chronic diseases in pooled deciles below or above borderline. RESULTS: NOx over 44.7 mu M were associated with increased prevalence of various chronic diseases such as diabetes type II, hyperthyroidism, coronary heart disease, gout and thrombosis/stroke. NOx 65.3 mu M and above were associated with lowered prevalence of osteoporosis. NOx levels of 74.6 mu M and above were associated with significantly higher number of patients who abstain from consumption of alcoholic beverages. NOx were not associated with cancer. CONCLUSIONS: Thus, fasting concentrations of NOx in serum can be an important diagnostic parameter characteristic for specific chronic diseases.
